,cost,distance,dropoff_datetime,dropoff_latitude,dropoff_longitude,passengers,pickup_datetime,pickup_latitude,pickup_longitude,store_forward,vendor
0,4.5,0.83,2016-01-03 21:05:52,40.69454574584961,-73.97611236572266,1,2016-01-03 21:02:35,40.6938362121582,-73.98726654052734,N,2
1,6.0,1.27,2016-01-19 21:54:37,40.81214904785156,-73.95975494384766,1,2016-01-19 21:49:17,40.80146789550781,-73.94845581054688,N,2
2,9.5,1.8,2016-01-05 09:57:28,40.678741455078125,-73.98030853271484,1,2016-01-05 09:46:18,40.6797981262207,-73.9554443359375,N,2
3,4.0,0.5,2016-01-08 17:52:20,40.75471496582031,-73.92549896240234,1,2016-01-08 17:49:12,40.76081848144531,-73.92293548583984,N,1
4,6.0,0.9,2016-01-29 10:34:59,40.66966247558594,-73.91104125976562,1,2016-01-29 10:28:21,40.66493988037109,-73.92304229736328,N,1
5,11.5,2.72,2016-01-30 13:20:20,40.77496337890625,-73.89237213134766,1,2016-01-30 13:08:46,40.74625396728516,-73.8973159790039,N,2
6,10.5,2.43,2016-01-26 20:10:07,40.90352249145508,-73.90647888183594,1,2016-01-26 19:59:15,40.87456130981445,-73.90950775146484,N,2
7,25.0,6.83,2016-01-08 17:05:38,40.75603103637695,-73.94535064697266,1,2016-01-08 16:32:18,40.80010223388672,-73.9500503540039,N,2
8,3.5,0.45,2016-01-04 10:08:52,40.67219161987305,-74.01203918457031,1,2016-01-04 10:06:22,40.67601776123047,-74.0144271850586,N,2
9,5.0,0.77,2016-01-09 02:37:43,40.66605758666992,-73.97817993164062,1,2016-01-09 02:34:05,40.67120361328125,-73.98458099365234,N,2
10,11.0,2.2,2016-01-14 01:27:24,40.699737548828125,-73.99366760253906,1,2016-01-14 01:14:45,40.68327331542969,-73.96582794189453,N,2
11,7.5,1.5,2016-01-12 16:21:59,40.61215972900391,-73.94902801513672,1,2016-01-12 16:14:12,40.6324462890625,-73.94767761230469,N,1
12,24.5,6.27,2016-01-09 18:05:29,40.74581146240234,-73.98792266845703,1,2016-01-09 17:35:52,40.715213775634766,-73.96052551269531,N,2
